duration_us,draw_id,image_q,h_gain_lower_active,h_gain_upper_active,v_gain_lower_active,v_gain_upper_active,dark_h_floor_active,dark_h_upper_active,dark_v_floor_active,dark_v_upper_active,either_dark_floor_active,reported_active_nuisance_bounds,eta_supported,rho_y_supported,support_interpretation
100,15,9,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,15,10,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,15,11,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,15,12,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,15,13,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,15,14,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,15,15,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,1,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,2,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,3,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,4,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,5,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,6,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,7,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,8,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,9,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,10,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,11,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,12,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,13,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,14,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,16,15,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,17,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,17,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
