duration_us,method,draw_id,role,image_q,seed
25,dpfi,8,atom_v,15,20260818:4515:25:2:8:2:15
25,dpfi,9,blank_h,0,20260818:4515:25:2:9:3:0
25,dpfi,9,blank_v,0,20260818:4515:25:2:9:4:0
25,dpfi,9,dark_h,0,20260818:4515:25:2:9:5:0
25,dpfi,9,dark_v,0,20260818:4515:25:2:9:6:0
25,dpfi,9,atom_h,1,20260818:4515:25:2:9:1:1
25,dpfi,9,atom_v,1,20260818:4515:25:2:9:2:1
25,dpfi,9,atom_h,2,20260818:4515:25:2:9:1:2
25,dpfi,9,atom_v,2,20260818:4515:25:2:9:2:2
25,dpfi,9,atom_h,3,20260818:4515:25:2:9:1:3
25,dpfi,9,atom_v,3,20260818:4515:25:2:9:2:3
25,dpfi,9,atom_h,4,20260818:4515:25:2:9:1:4
25,dpfi,9,atom_v,4,20260818:4515:25:2:9:2:4
25,dpfi,9,atom_h,5,20260818:4515:25:2:9:1:5
25,dpfi,9,atom_v,5,20260818:4515:25:2:9:2:5
25,dpfi,9,atom_h,6,20260818:4515:25:2:9:1:6
25,dpfi,9,atom_v,6,20260818:4515:25:2:9:2:6
25,dpfi,9,atom_h,7,20260818:4515:25:2:9:1:7
25,dpfi,9,atom_v,7,20260818:4515:25:2:9:2:7
25,dpfi,9,atom_h,8,20260818:4515:25:2:9:1:8
25,dpfi,9,atom_v,8,20260818:4515:25:2:9:2:8
25,dpfi,9,atom_h,9,20260818:4515:25:2:9:1:9
25,dpfi,9,atom_v,9,20260818:4515:25:2:9:2:9
25,dpfi,9,atom_h,10,20260818:4515:25:2:9:1:10
25,dpfi,9,atom_v,10,20260818:4515:25:2:9:2:10
25,dpfi,9,atom_h,11,20260818:4515:25:2:9:1:11
25,dpfi,9,atom_v,11,20260818:4515:25:2:9:2:11
25,dpfi,9,atom_h,12,20260818:4515:25:2:9:1:12
25,dpfi,9,atom_v,12,20260818:4515:25:2:9:2:12
25,dpfi,9,atom_h,13,20260818:4515:25:2:9:1:13
25,dpfi,9,atom_v,13,20260818:4515:25:2:9:2:13
25,dpfi,9,atom_h,14,20260818:4515:25:2:9:1:14
25,dpfi,9,atom_v,14,20260818:4515:25:2:9:2:14
25,dpfi,9,atom_h,15,20260818:4515:25:2:9:1:15
25,dpfi,9,atom_v,15,20260818:4515:25:2:9:2:15
25,dpfi,10,blank_h,0,20260818:4515:25:2:10:3:0
25,dpfi,10,blank_v,0,20260818:4515:25:2:10:4:0
25,dpfi,10,dark_h,0,20260818:4515:25:2:10:5:0
25,dpfi,10,dark_v,0,20260818:4515:25:2:10:6:0
25,dpfi,10,atom_h,1,20260818:4515:25:2:10:1:1
25,dpfi,10,atom_v,1,20260818:4515:25:2:10:2:1
25,dpfi,10,atom_h,2,20260818:4515:25:2:10:1:2
25,dpfi,10,atom_v,2,20260818:4515:25:2:10:2:2
25,dpfi,10,atom_h,3,20260818:4515:25:2:10:1:3
25,dpfi,10,atom_v,3,20260818:4515:25:2:10:2:3
25,dpfi,10,atom_h,4,20260818:4515:25:2:10:1:4
25,dpfi,10,atom_v,4,20260818:4515:25:2:10:2:4
25,dpfi,10,atom_h,5,20260818:4515:25:2:10:1:5
25,dpfi,10,atom_v,5,20260818:4515:25:2:10:2:5
25,dpfi,10,atom_h,6,20260818:4515:25:2:10:1:6
25,dpfi,10,atom_v,6,20260818:4515:25:2:10:2:6
25,dpfi,10,atom_h,7,20260818:4515:25:2:10:1:7
25,dpfi,10,atom_v,7,20260818:4515:25:2:10:2:7
25,dpfi,10,atom_h,8,20260818:4515:25:2:10:1:8
25,dpfi,10,atom_v,8,20260818:4515:25:2:10:2:8
25,dpfi,10,atom_h,9,20260818:4515:25:2:10:1:9
25,dpfi,10,atom_v,9,20260818:4515:25:2:10:2:9
25,dpfi,10,atom_h,10,20260818:4515:25:2:10:1:10
25,dpfi,10,atom_v,10,20260818:4515:25:2:10:2:10
25,dpfi,10,atom_h,11,20260818:4515:25:2:10:1:11
25,dpfi,10,atom_v,11,20260818:4515:25:2:10:2:11
25,dpfi,10,atom_h,12,20260818:4515:25:2:10:1:12
25,dpfi,10,atom_v,12,20260818:4515:25:2:10:2:12
25,dpfi,10,atom_h,13,20260818:4515:25:2:10:1:13
25,dpfi,10,atom_v,13,20260818:4515:25:2:10:2:13
25,dpfi,10,atom_h,14,20260818:4515:25:2:10:1:14
25,dpfi,10,atom_v,14,20260818:4515:25:2:10:2:14
25,dpfi,10,atom_h,15,20260818:4515:25:2:10:1:15
25,dpfi,10,atom_v,15,20260818:4515:25:2:10:2:15
25,dpfi,11,blank_h,0,20260818:4515:25:2:11:3:0
25,dpfi,11,blank_v,0,20260818:4515:25:2:11:4:0
25,dpfi,11,dark_h,0,20260818:4515:25:2:11:5:0
25,dpfi,11,dark_v,0,20260818:4515:25:2:11:6:0
25,dpfi,11,atom_h,1,20260818:4515:25:2:11:1:1
25,dpfi,11,atom_v,1,20260818:4515:25:2:11:2:1
25,dpfi,11,atom_h,2,20260818:4515:25:2:11:1:2
25,dpfi,11,atom_v,2,20260818:4515:25:2:11:2:2
25,dpfi,11,atom_h,3,20260818:4515:25:2:11:1:3
25,dpfi,11,atom_v,3,20260818:4515:25:2:11:2:3
25,dpfi,11,atom_h,4,20260818:4515:25:2:11:1:4
25,dpfi,11,atom_v,4,20260818:4515:25:2:11:2:4
25,dpfi,11,atom_h,5,20260818:4515:25:2:11:1:5
25,dpfi,11,atom_v,5,20260818:4515:25:2:11:2:5
25,dpfi,11,atom_h,6,20260818:4515:25:2:11:1:6
25,dpfi,11,atom_v,6,20260818:4515:25:2:11:2:6
25,dpfi,11,atom_h,7,20260818:4515:25:2:11:1:7
25,dpfi,11,atom_v,7,20260818:4515:25:2:11:2:7
25,dpfi,11,atom_h,8,20260818:4515:25:2:11:1:8
25,dpfi,11,atom_v,8,20260818:4515:25:2:11:2:8
25,dpfi,11,atom_h,9,20260818:4515:25:2:11:1:9
25,dpfi,11,atom_v,9,20260818:4515:25:2:11:2:9
25,dpfi,11,atom_h,10,20260818:4515:25:2:11:1:10
25,dpfi,11,atom_v,10,20260818:4515:25:2:11:2:10
25,dpfi,11,atom_h,11,20260818:4515:25:2:11:1:11
25,dpfi,11,atom_v,11,20260818:4515:25:2:11:2:11
25,dpfi,11,atom_h,12,20260818:4515:25:2:11:1:12
25,dpfi,11,atom_v,12,20260818:4515:25:2:11:2:12
25,dpfi,11,atom_h,13,20260818:4515:25:2:11:1:13
25,dpfi,11,atom_v,13,20260818:4515:25:2:11:2:13
25,dpfi,11,atom_h,14,20260818:4515:25:2:11:1:14
25,dpfi,11,atom_v,14,20260818:4515:25:2:11:2:14
25,dpfi,11,atom_h,15,20260818:4515:25:2:11:1:15
25,dpfi,11,atom_v,15,20260818:4515:25:2:11:2:15
25,dpfi,12,blank_h,0,20260818:4515:25:2:12:3:0
25,dpfi,12,blank_v,0,20260818:4515:25:2:12:4:0
25,dpfi,12,dark_h,0,20260818:4515:25:2:12:5:0
25,dpfi,12,dark_v,0,20260818:4515:25:2:12:6:0
25,dpfi,12,atom_h,1,20260818:4515:25:2:12:1:1
25,dpfi,12,atom_v,1,20260818:4515:25:2:12:2:1
25,dpfi,12,atom_h,2,20260818:4515:25:2:12:1:2
25,dpfi,12,atom_v,2,20260818:4515:25:2:12:2:2
25,dpfi,12,atom_h,3,20260818:4515:25:2:12:1:3
25,dpfi,12,atom_v,3,20260818:4515:25:2:12:2:3
25,dpfi,12,atom_h,4,20260818:4515:25:2:12:1:4
25,dpfi,12,atom_v,4,20260818:4515:25:2:12:2:4
