duration_us,draw_id,image_q,truth_eta,truth_rho_y,truth_condensate_atoms,truth_radius_y_um,whole_image_template_snr,scattered_photons_per_atom_per_pulse,deposited_energy_per_pulse_j,cumulative_deposited_energy_before_image_j,selected_start_id,converged_start_count,optimizer_failure,residual_failure,eta_hat,rho_y_hat,y0_hat_um,eta_error,rho_y_error,eta_conditional_sd,rho_y_conditional_sd,eta_supported,rho_y_supported,eta_support_reason,rho_y_support_reason,active_physical_bounds,active_nuisance_bounds,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual
350,0,5,0.8443676775148693,0.9667324939162046,42810.36556210757,14.164773962725437,93.78460702343898,0.01172085411465064,2.524277652444499e-26,1.0097110609777995e-25,3,5,false,false,0.854473264812888,0.9692142840252546,-0.021644526100401705,0.010105587298018692,0.0024817901090499195,0.010541618077662046,0.010346336064292787,true,true,supported,supported,0,0,7293.640006063084,1.007130627735858,4.615355193488433
350,0,6,0.8069813692160127,0.958015863050721,40914.8388053251,14.03705599865254,90.83364731945568,0.01172085411465064,2.524277652444499e-26,1.262138826222249e-25,1,5,false,false,0.8007559213726018,0.9354191064508766,-0.04421317827523658,-0.006225447843410947,-0.022596756599844392,0.010270933930565888,0.010416143945863137,true,true,supported,supported,0,0,7343.910192493484,1.014072106116195,4.6160040926183905
350,0,7,0.7701995429238506,0.9491189594827433,39049.95994799618,13.906696639883027,87.86785129779538,0.01172085411465064,2.524277652444499e-26,1.5145665914666993e-25,1,5,false,false,0.7815121196589139,0.9324425835036978,0.001320345990214364,0.011312576735063251,-0.016676375979045477,0.010226842273750493,0.010602207669052028,true,true,supported,supported,0,0,7129.146910065487,0.9844168613733066,4.614693133641166
350,0,8,0.7340193153188027,0.9400295405144515,37215.58280266179,13.773516503755813,84.88834603058335,0.01172085411465064,2.524277652444499e-26,1.7669943567111493e-25,1,5,false,false,0.7330663136777138,0.942348818219831,0.07373054248133677,-0.000953001641088913,0.00231927770537943,0.010246362510720392,0.011438969066502876,true,true,supported,supported,0,0,7214.574820691922,0.9962130379303952,4.614840426197689
350,0,9,0.69844402593106,0.9307355810247993,35411.87668715832,13.637339395591841,81.89580520117819,0.01172085411465064,2.524277652444499e-26,2.019422121955599e-25,1,5,false,false,0.7061299236095998,0.930591538075051,0.004178562608183013,0.007685897678539777,-0.0001440429497482354,0.010143865294994848,0.011625045808713867,true,true,supported,supported,0,0,7068.962304260793,0.9761063662331942,4.61588740206348
350,0,10,0.6634720295715738,0.9212224664097676,33638.75818860005,13.497951179046487,78.88991149729222,0.01172085411465064,2.524277652444499e-26,2.2718498872000484e-25,1,5,false,false,0.6760524898137981,0.9250753861416411,-0.1373074713383435,0.012580460242224256,0.0038529197318735164,0.010073221544309617,0.011998275926367093,true,true,supported,supported,0,0,7221.94251490995,0.9972303942156794,4.615497834013013
350,0,11,0.6291078982303736,0.9114755669398442,31896.45911188634,13.35513749615311,75.87132692811286,0.01172085411465064,2.524277652444499e-26,2.524277652444498e-25,1,5,false,false,0.6139402074777958,0.8863397598180268,0.027689960563594324,-0.015167690752577845,-0.0251358071218174,0.009753321487818604,0.012308555607888048,true,true,supported,supported,0,0,7194.5028517393075,0.9934414321650521,4.614329836305617
350,0,12,0.5953557706898327,0.9014783792805395,30185.18929781415,13.20865653647899,72.84198531611896,0.01172085411465064,2.524277652444499e-26,2.776705417688948e-25,1,5,false,false,0.5915952910141907,0.9117798356908441,-0.04164399593355755,-0.00376047967564197,0.010301456410304555,0.00987666677747717,0.01328592608822224,true,true,supported,supported,0,0,7257.905670245241,1.0021963090645183,4.614961669680024
350,0,13,0.562222327295841,0.8912132156474689,28505.287447232946,13.058249134774918,69.80239643612657,0.01172085411465064,2.524277652444499e-26,3.0291331829333986e-25,1,5,false,false,0.5622637253106652,0.891894064217606,-0.0016743156197660542,4.139801482416772e-05,0.0006808485701370603,0.009715386622699497,0.013481835207837285,true,true,supported,supported,0,0,7245.574939424767,1.0004936397990565,4.615270748233501
350,0,14,0.5297102277512906,0.8806587811123907,26856.888409990876,12.903603273138323,66.75254701192611,0.01172085411465064,2.524277652444499e-26,3.281560948177848e-25,1,5,false,false,0.5409691571779107,0.8748628103677153,-0.0616645357467906,0.011258929426620101,-0.005795970744675416,0.009575527164399524,0.013575471927686062,true,true,supported,supported,0,0,7141.368997913889,0.9861045288475406,4.61461475597474
