duration_us,draw_id,image_q,delta_eta_q_given_1,delta_rho_y_q_given_1,truth_delta_eta_q_given_1,truth_delta_rho_y_q_given_1,eta_pair_supported,rho_y_pair_supported,eta_pair_reason,rho_y_pair_reason
25,8,10,-0.00032988509603970595,0.02236314328638378,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,8,11,0.0004623645155071854,0.013113537137811493,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,8,12,-0.011817173301389539,-0.06243281992000016,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,8,13,0.03758348476780815,0.038008819338541944,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,8,14,0.014080252181486674,0.016528135587458914,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,8,15,-0.058541124554728485,-0.04049473570468254,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,9,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,9,2,-0.07144934225611288,0.04966577935025385,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,9,3,-0.037035568429060195,0.09349190723041878,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,9,4,-0.03221983599992839,0.057615029133543105,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,9,5,-0.007827445285222612,0.0416132267161472,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,9,6,0.022822008880799327,0.11003882426443856,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,9,7,0.010858732295658369,0.018446793909167702,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,9,8,-0.030383469154247056,0.0381760707809945,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,9,9,-0.02054131235789436,0.08518693433713698,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,9,10,-0.0734271905141819,0.014420706096838098,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,9,11,-0.050786640931790195,0.036184026660548096,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,9,12,-0.020844030578545447,0.05479884323258177,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,9,13,-0.14674688835674532,-0.012415609678898876,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,9,14,0.05342449633478963,0.10492813690027503,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,9,15,0.02507361490858173,0.04196597500885424,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,10,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,10,2,-0.022448385784947233,-0.015279232881994398,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,10,3,0.013236792888420501,0.0006884896870352764,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,10,4,0.02105077285221202,0.08133236375075859,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
