draw_index,endpoint_label,field_orientation,fit_status,A,centre_y_um,centre_z_um,sigma_y_um,sigma_z_um,aspect_ratio_y_over_z
30,B_parallel_z,z,success,19328.09965864763,-0.6034816163543841,-0.020343768567009153,8.887775292879596,0.7024736115446145,12.652112686961948
31,B_parallel_y,y,success,18867.420922124635,0.10397702361957929,-0.0023077267751153924,6.495992213051042,0.2955023573643884,21.982877805068526
31,B_parallel_z,z,success,18093.701327018473,-0.4743349664072431,0.04211597684750445,8.947975226505198,0.6692612219062374,13.369929309543647
32,B_parallel_y,y,success,18982.389953361144,-0.12083398588590141,-0.0071263679747605125,6.378173281302882,0.3681206383084178,17.326312674594295
32,B_parallel_z,z,success,18203.04609094694,-0.3531224872039184,-0.0007225901939234366,9.20634821759505,0.6849118790144569,13.441653590301833
33,B_parallel_y,y,success,18636.168346532766,-0.22914274358415837,0.0034714768490087247,6.055064168872635,0.405445513514377,14.934347445080123
33,B_parallel_z,z,success,18325.561986488337,-0.6772732493505691,0.02146231872034553,8.834085113179196,0.6767156666829497,13.054352881293765
34,B_parallel_y,y,success,18730.17919181447,0.25823644197239226,0.013522300357535846,6.2776280130529205,0.3435851475598072,18.27095279769096
34,B_parallel_z,z,success,18803.06925957964,-0.26579537162255895,0.0043895680437781,9.010729817089848,0.6656166367856041,13.537416763806362
35,B_parallel_y,y,success,19302.873299454823,-0.09468353868714775,0.0287733122398695,6.469665486439142,0.4089371351262498,15.820684723195374
35,B_parallel_z,z,success,19040.163138225875,-0.8463709667356507,0.001890805322170248,8.925984417915961,0.7404736134539687,12.054426053455641
36,B_parallel_y,y,success,18428.165132617196,0.1737865496073324,-0.025579484859104894,6.213993710999524,0.3098356912363606,20.055771128895312
36,B_parallel_z,z,success,20381.923370761262,-0.5165523402407437,0.05210495406697651,8.791336870688008,0.7641897596202237,11.504128078158235
37,B_parallel_y,y,success,18354.402765057337,-0.3293185935278335,0.032802268425599954,6.250632867645236,0.34630244277448274,18.04963550810336
37,B_parallel_z,z,success,19594.168389066606,-0.807888354133625,0.06666687842083184,8.946301536859517,0.7055565302346586,12.679779937525485
38,B_parallel_y,y,success,19125.361067926824,0.2592638194419132,0.0006202621102301394,6.6280447985864965,0.35329999520838257,18.76038745677638
38,B_parallel_z,z,success,18405.675831045282,-0.7399851500255166,-0.0049251617102520845,9.142733220418076,0.6797039133135339,13.451052791277245
39,B_parallel_y,y,success,18673.705383422446,-0.21935373757401888,0.0011372323578823043,6.4378547262912225,0.2975295654015858,21.637697475885563
39,B_parallel_z,z,success,19148.350709208295,-0.8210041961898816,0.03670286700571478,9.078961343530308,0.705699564561967,12.865193347774966
40,B_parallel_y,y,success,16814.099896412252,-0.28590159367982654,-0.003924696575447088,6.1173081908172495,0.2644559729617796,23.131669601961878
40,B_parallel_z,z,success,19733.3223140782,-0.5326307645023535,0.04627829959660738,9.351360776041478,0.7525755182134989,12.425810499709321
41,B_parallel_y,y,success,19218.177533856415,-0.03599989813282586,0.011817704839079464,6.05039952773575,0.3371558534428402,17.945408528289146
41,B_parallel_z,z,success,19861.00361470874,-1.39328358152961,-0.026153428715039895,9.221941306759316,0.7293380930662454,12.644261138190258
42,B_parallel_y,y,success,18655.31779324732,-0.30493978526880205,0.044106828530742936,6.150088184862509,0.3535154314512559,17.396944058750393
