method,state,display_label,duration_us,observable,unit,truth,draw_count,mean,median,q16,q84,empirical_sd,bias
dgi,separated_droplets,ID,400,nu_vp,ratio,0.08736061642362755,64,0.08757548318062774,0.08782823776458612,0.08287064242039081,0.09181130213517229,0.004312120006280204,0.00021486675700019275
dpfi,connected_modulated,SSP,25,eta,ratio,1.0,64,1.0053783849643354,1.0048342197715536,0.971738710547379,1.035467371761746,0.03186831316890231,0.005378384964335403
dpfi,connected_modulated,SSP,25,d_peak,um,2.751540046488,64,2.737111287889914,2.74232680894975,2.68920724545372,2.79197812147956,0.0597743632232951,-0.014428758598085789
dpfi,connected_modulated,SSP,25,nu_vp,ratio,0.6494770333465083,64,0.6597607761199591,0.6604173377125548,0.6094225156308486,0.7170524290556064,0.05526160224515484,0.010283742773450788
dpfi,connected_modulated,SSP,50,eta,ratio,1.0,64,1.0052467408707364,1.0055943420537874,0.9868816165776748,1.0234322171351347,0.018097246020243547,0.005246740870736399
dpfi,connected_modulated,SSP,50,d_peak,um,2.751540046488,64,2.758012373996797,2.75192013352125,2.72593424678578,2.7891233171061,0.03390918454604424,0.0064723275087970045
dpfi,connected_modulated,SSP,50,nu_vp,ratio,0.6494770333465083,64,0.6469327276218078,0.6503131681138472,0.6125069412603557,0.6788134571512099,0.03854768050070805,-0.0025443057247005463
dpfi,connected_modulated,SSP,100,eta,ratio,1.0,64,0.9998558105049267,1.000659495542112,0.9884108509201793,1.0126534778361203,0.012342156136997781,-0.00014418949507333245
dpfi,connected_modulated,SSP,100,d_peak,um,2.751540046488,64,2.7469165533838202,2.75255892069125,2.7147267166544,2.77132710962488,0.02823439618845296,-0.0046234931041797545
dpfi,connected_modulated,SSP,100,nu_vp,ratio,0.6494770333465083,64,0.6502672848598721,0.6532852509221286,0.6241521119830592,0.6756359232383558,0.029309595949992915,0.00079025151336376
dpfi,connected_modulated,SSP,200,eta,ratio,1.0,64,0.9992704442232988,1.0006367495929365,0.9914901507611485,1.007661148982554,0.008649514607907317,-0.0007295557767011962
dpfi,connected_modulated,SSP,200,d_peak,um,2.751540046488,64,2.74655398601457,2.74556575206475,2.72455004268456,2.77527674159544,0.021898439841613746,-0.004986060473429976
dpfi,connected_modulated,SSP,200,nu_vp,ratio,0.6494770333465083,64,0.6539113755497606,0.6570216961451247,0.6295842878743597,0.6732160413962913,0.021349644787577702,0.004434342203252339
dpfi,connected_modulated,SSP,400,eta,ratio,1.0,64,1.0004802076281425,0.9999250627460717,0.994592624680996,1.0074669237216194,0.00597284677700386,0.00048020762814249274
dpfi,connected_modulated,SSP,400,d_peak,um,2.751540046488,64,2.750515075229453,2.7506361906807504,2.73859567822254,2.76076509504978,0.013098453086740654,-0.0010249712585470583
dpfi,connected_modulated,SSP,400,nu_vp,ratio,0.6494770333465083,64,0.6501040001184255,0.6503700022468327,0.6357426019661703,0.6606196146540106,0.014491804339318045,0.0006269667719172034
dpfi,separated_droplets,ID,25,eta,ratio,1.0,64,0.9962386511166734,0.9996835488696905,0.9607010452149132,1.0259066776283807,0.03463195388731942,-0.0037613488833265762
dpfi,separated_droplets,ID,25,d_peak,um,2.799987273455,64,2.799994181369133,2.80051346361,2.7673346190698003,2.8296360119669197,0.03461335203572386,6.90791413271441e-06
dpfi,separated_droplets,ID,25,nu_vp,ratio,0.08736061642362755,64,0.08532621479093647,0.08253784604471792,0.06889559468408453,0.10174415228142297,0.015963303660154426,-0.002034401632691085
dpfi,separated_droplets,ID,50,eta,ratio,1.0,64,0.9963554463876378,0.9953483571214943,0.9806953760719909,1.0123009886978886,0.01772522652639671,-0.003644553612362156
dpfi,separated_droplets,ID,50,d_peak,um,2.799987273455,64,2.7964177726015156,2.79595670565,2.7737414227861996,2.8194944698650604,0.021029744569465415,-0.0035695008534846195
dpfi,separated_droplets,ID,50,nu_vp,ratio,0.08736061642362755,64,0.08614994603830624,0.08506563789777732,0.07854139095596971,0.09452991824293837,0.010177024904293655,-0.0012106703853213135
dpfi,separated_droplets,ID,100,eta,ratio,1.0,64,0.9986653193530043,0.9981363393914402,0.9821278189166571,1.0158883838918078,0.014641452152317448,-0.0013346806469957118
dpfi,separated_droplets,ID,100,d_peak,um,2.799987273455,64,2.798355359713297,2.7994278541057502,2.7839424991020403,2.8126007183647803,0.015706091486682998,-0.0016319137417033502
dpfi,separated_droplets,ID,100,nu_vp,ratio,0.08736061642362755,64,0.0875240939607704,0.0868561881151427,0.08002090563218661,0.09375711923802028,0.007246221398730208,0.00016347753714285318
dpfi,separated_droplets,ID,200,eta,ratio,1.0,64,1.0013660873662285,1.000392818555204,0.9899462423705645,1.0123857471260609,0.01127979742613453,0.0013660873662284523
dpfi,separated_droplets,ID,200,d_peak,um,2.799987273455,64,2.8001534823161327,2.8000697478305003,2.7890658488059,2.8119880252338,0.011950060325508773,0.00016620886113249966
dpfi,separated_droplets,ID,200,nu_vp,ratio,0.08736061642362755,64,0.08744761677959462,0.08775039278619123,0.08198006822165145,0.09192477147149922,0.005084766327329054,8.700035596706512e-05
dpfi,separated_droplets,ID,400,eta,ratio,1.0,64,0.9993561908608545,0.9992121673625245,0.9919194489265889,1.0069112712928774,0.0073582218264779545,-0.0006438091391455236
dpfi,separated_droplets,ID,400,d_peak,um,2.799987273455,64,2.799380374396055,2.7993917486452498,2.7911646658494402,2.8066088121465405,0.008143156672200518,-0.0006068990589453982
dpfi,separated_droplets,ID,400,nu_vp,ratio,0.08736061642362755,64,0.0885528434083285,0.08832311371982048,0.0855219837771315,0.09123421450391886,0.0033595909089724394,0.0011922269847009503
