method,state,duration_us,draw_id,d_peak_hat_um,nu_vp_hat,d_peak_truth_um,nu_vp_truth,d_peak_conditional_sd_um,nu_vp_conditional_sd,old_d_peak_supported,old_nu_vp_supported,selected_locally_eligible,minimum_distinct_alternative_delta_q,d_peak_competitive_alternative_count,nu_vp_competitive_alternative_count,d_peak_supported,nu_vp_supported,support_rule
dgi,connected_modulated,25,57,2.762419390477,0.6420583593478792,2.751540046488,0.6494770333465083,0.040706027803054476,0.04935174830970205,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,58,2.7462412561585,0.5640567121278253,2.751540046488,0.6494770333465083,0.03733089508895332,0.05269463052539984,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,59,2.712039746212,0.6383847434774654,2.751540046488,0.6494770333465083,0.04430219283520809,0.05725209970741362,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,60,2.6979686697555,0.7017464781146727,2.751540046488,0.6494770333465083,0.048227382653225605,0.05025183452381496,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,61,2.7343185254455,0.7014607439484193,2.751540046488,0.6494770333465083,0.0480062427671427,0.051051427595055605,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,62,2.7115727464625,0.6381919931638627,2.751540046488,0.6494770333465083,0.04303563036262223,0.056001407023904035,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,63,2.7713637828150004,0.5770032446545155,2.751540046488,0.6494770333465083,0.03932312439853565,0.05313322434662304,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,0,2.786686095888,0.07667147951594436,2.799987273455,0.08736061642362755,0.021895783749384806,0.015847713453553083,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,1,2.7822761672995,0.0765714853082779,2.799987273455,0.08736061642362755,0.022556835535285855,0.018145675484449106,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,2,2.789276218577,0.12432754186151594,2.799987273455,0.08736061642362755,0.020908645560293586,0.019769154455833233,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,3,2.8042022315085,0.09296387736261913,2.799987273455,0.08736061642362755,0.020156475996632717,0.016739515302612595,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,4,2.8096668237845,0.09693691259585964,2.799987273455,0.08736061642362755,0.022376909115615656,0.019069106333805888,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,5,2.7911007964929997,0.09796501979122563,2.799987273455,0.08736061642362755,0.022832581505698047,0.019728903405019906,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,6,2.822251275073,0.10093137437290987,2.799987273455,0.08736061642362755,0.022049252064887212,0.018664945476535473,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,7,2.8076467218829997,0.07787761495896448,2.799987273455,0.08736061642362755,0.020108297511607098,0.015065358746537959,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,8,2.7940154188165,0.11570664818640712,2.799987273455,0.08736061642362755,0.021567933801945827,0.019645217801578466,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,9,2.7370879252665,0.0994661128206986,2.799987273455,0.08736061642362755,0.02187547410510546,0.019362100259776697,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,10,2.8062910206135,0.07560621480033092,2.799987273455,0.08736061642362755,0.020838774652999707,0.015323358776686375,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,11,2.7721216139335,0.09747954777672754,2.799987273455,0.08736061642362755,0.022458164112708293,0.018965776201246645,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,12,2.7835090248735,0.12869767618044764,2.799987273455,0.08736061642362755,0.023764636701809932,0.022341268906201896,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,13,2.804676187408,0.09232742609118183,2.799987273455,0.08736061642362755,0.021873649222927758,0.01870206508560328,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,14,2.774801737234,0.06845516143128869,2.799987273455,0.08736061642362755,0.020855286080292607,0.014843445166077439,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,15,2.794087630709,0.10220907825728114,2.799987273455,0.08736061642362755,0.022132515757102515,0.018338311030261782,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,16,2.764402238319,0.11478740477602664,2.799987273455,0.08736061642362755,0.023008629278042574,0.021422884105743265,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,17,2.832492337115,0.08284321158487863,2.799987273455,0.08736061642362755,0.021490228865351537,0.01742346469102077,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,18,2.787049638058,0.12199434815729324,2.799987273455,0.08736061642362755,0.023649023143300616,0.023997554450348308,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,19,2.804081873356,0.10457044865035914,2.799987273455,0.08736061642362755,0.023734304678512518,0.020773112440968043,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,20,2.8081145726525,0.06296223355722635,2.799987273455,0.08736061642362755,0.021275221140832384,0.014039180164669035,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,21,2.773030283272,0.0953413597062941,2.799987273455,0.08736061642362755,0.023812190001519844,0.02025837429024864,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,22,2.79623861774,0.11771691535257181,2.799987273455,0.08736061642362755,0.022408505835799064,0.02205260371353467,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,23,2.8063503987735,0.12400998863997313,2.799987273455,0.08736061642362755,0.023454790439739366,0.023006794404211463,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,24,2.8146909670805,0.0851097196469046,2.799987273455,0.08736061642362755,0.021768920336048162,0.017479929650978263,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,25,2.8383848756995,0.10238262525022866,2.799987273455,0.08736061642362755,0.021806851016949527,0.018098244413805756,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,26,2.818383463222,0.09512551799665869,2.799987273455,0.08736061642362755,0.02259123517225262,0.019370466000924548,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,27,2.7820601689145,0.08558605975509864,2.799987273455,0.08736061642362755,0.022341674793982996,0.01846958112995213,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,28,2.8340903823575,0.08290336379527322,2.799987273455,0.08736061642362755,0.02205943860936599,0.01768236200670592,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,29,2.7807162724115,0.0838008452051951,2.799987273455,0.08736061642362755,0.021605530289970396,0.017183283328308298,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,separated_droplets,25,30,2.7505485116940003,0.08412529837941535,2.799987273455,0.08736061642362755,0.022452681506268553,0.01818562188539442,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
