observable,quantity,draw_index,native_value,reporting_scale_value
y_c_um,delta_21,47,-0.70646710635924004,-1.0868724713219078
y_c_um,delta_21,48,1.081617552152667,1.6640270033117952
y_c_um,delta_21,49,-0.6728089475122393,-1.0350906884803681
y_c_um,delta_21,50,-0.17719534306219176,-0.27260822009567964
y_c_um,delta_21,51,1.8274866148751907,2.811517869038755
y_c_um,delta_21,52,0.92249146050132125,1.4192176315404941
y_c_um,delta_21,53,-0.72043372640000036,-1.1083595790769236
y_c_um,delta_21,54,1.3787465425762613,2.1211485270404018
y_c_um,delta_21,55,-1.4641136180480758,-2.2524824893047319
y_c_um,delta_21,56,0.61976205158718911,0.95348007936490631
y_c_um,delta_21,57,2.4886551241205086,3.8287001909546285
y_c_um,delta_21,58,0.61782416202326063,0.95049871080501636
y_c_um,delta_21,59,-1.2421647806833738,-1.9110227395128827
y_c_um,delta_21,60,-1.2905377959495004,-1.9854427629992313
y_c_um,delta_21,61,1.2570784680503317,1.9339668739235871
y_c_um,delta_21,62,-1.0037204578163952,-1.544185319717531
y_c_um,delta_21,63,1.3119158217444533,2.0183320334530048
z_c_um,q1,0,-0.11141534507061378,-0.17140822318555962
z_c_um,q1,1,-0.0086626231340053116,-0.013327112513854314
z_c_um,q1,2,-0.076949493247576856,-0.11838383576550283
z_c_um,q1,3,-0.15602816446298789,-0.2400433299430583
z_c_um,q1,4,-0.17362205941959602,-0.26711086064553236
z_c_um,q1,5,-0.20807631690966805,-0.3201174106302585
z_c_um,q1,6,-0.02498412249491555,-0.038437111530639299
z_c_um,q1,7,-0.032276496081165652,-0.049656147817177913
z_c_um,q1,8,-0.0036867127858139434,-0.0056718658243291318
z_c_um,q1,9,0.084576546693331242,0.13011776414358656
z_c_um,q1,10,-0.093896915590946747,-0.14445679321684113
z_c_um,q1,11,-0.1352581372042275,-0.20808944185265768
z_c_um,q1,12,-0.091440830254147065,-0.14067820039099546
z_c_um,q1,13,0.032104494675710617,0.049391530270324037
z_c_um,q1,14,0.032316366253161206,0.049717486543324939
z_c_um,q1,15,-0.042048058307163606,-0.064689320472559375
z_c_um,q1,16,-0.047789083751419166,-0.073521667309875624
z_c_um,q1,17,-0.29308942324478537,-0.45090680499197749
z_c_um,q1,18,0.039359229267115693,0.060552660410947229
z_c_um,q1,19,-0.053766057338631108,-0.082717011290201689
z_c_um,q1,20,0.18174827512359396,0.27961273095937533
z_c_um,q1,21,-0.22841658140360957,-0.35141012523632242
z_c_um,q1,22,0.050860471742385963,0.078246879603670716
z_c_um,q1,23,-0.10901095863287739,-0.16770916712750367
z_c_um,q1,24,-0.13216377789196601,-0.20332888906456309
z_c_um,q1,25,-0.19584595281859099,-0.30130146587475537
z_c_um,q1,26,-0.24432177083415649,-0.37587964743716379
z_c_um,q1,27,0.037306343175525537,0.057394374116193143
z_c_um,q1,28,-0.072863912117185792,-0.11209832633413196
z_c_um,q1,29,-0.14389700436366912,-0.2213800067133371
