method,state,display_label,duration_us,draw_id,eta_hat,eta_truth,d_peak_hat_um,d_peak_truth_um,nu_vp_hat,nu_vp_truth,nuisance_censored,d_peak_supported,nu_vp_supported
dgi,connected_modulated,SSP,25,20,1.1301100950494816,1.0,2.7342365728205,2.751540046488,0.5948991939062168,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,21,0.7953984663987163,1.0,2.771668159963,2.751540046488,0.6389316639658318,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,22,0.7755719843137295,1.0,2.6543442029465,2.751540046488,0.7180807983014099,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,23,1.0025400194049392,1.0,2.7759316192405,2.751540046488,0.6524099804327778,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,24,1.149267908007693,1.0,2.7505562343375,2.751540046488,0.5954014652572697,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,25,0.7772152152710675,1.0,2.7202667298575003,2.751540046488,0.6359856260436971,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,26,0.7758433251177127,1.0,2.7076245713505003,2.751540046488,0.6792151129060624,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,27,0.7743043211151126,1.0,2.6660008397809998,2.751540046488,0.7162775688569927,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,28,0.8561347364850371,1.0,2.713692494665,2.751540046488,0.6886133351739526,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,29,1.28529970239227,1.0,2.7291355379324997,2.751540046488,0.6781747065470543,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,30,0.757236130544809,1.0,2.759938964905,2.751540046488,0.624579118995984,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,31,0.7864601231168094,1.0,2.6971183193305,2.751540046488,0.8037544729911694,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,32,1.2382089790852255,1.0,2.7431791849155003,2.751540046488,0.6311956315190812,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,33,0.8925354436368574,1.0,2.7472615343035,2.751540046488,0.7243638889146158,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,34,1.1920088290650228,1.0,2.7585882799185,2.751540046488,0.5551415276882228,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,35,0.7795595288698874,1.0,2.7828213294874997,2.751540046488,0.6668609830337734,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,36,1.160071040337599,1.0,2.703117819388,2.751540046488,0.526093904466054,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,37,0.90766510035195,1.0,2.6901002800865,2.751540046488,0.6990289635564559,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,38,1.0287131841168367,1.0,2.70042312617,2.751540046488,0.6588749014964211,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,39,1.0744936557043017,1.0,2.7281657576335,2.751540046488,0.6260963273005282,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,40,0.7851471914412878,1.0,2.7880363842265004,2.751540046488,0.6595263964247648,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,41,0.8043136645400489,1.0,2.733473649563,2.751540046488,0.6888686841107208,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,42,0.8826675817116582,1.0,2.7501431869445,2.751540046488,0.6300057480977541,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,43,0.864746682872198,1.0,2.7492982750325003,2.751540046488,0.7001121344805245,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,44,1.4803563032135445,1.0,2.7509267259115,2.751540046488,0.5549290551276,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,45,0.8135523786876794,1.0,2.7870673536234998,2.751540046488,0.6416673153259386,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,46,1.3862220805785705,1.0,2.7585953809815,2.751540046488,0.509969303829169,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,47,1.3038524207613615,1.0,2.799122439844,2.751540046488,0.49383236500211003,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,48,1.1242206073760208,1.0,2.6768852660705003,2.751540046488,0.5956066308572178,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,49,1.0057898569092047,1.0,2.7802662720355,2.751540046488,0.6289169549399088,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,50,1.0435649951209651,1.0,2.646548141316,2.751540046488,0.6710818669566725,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,51,0.808903915788377,1.0,2.760277818987,2.751540046488,0.7483045849723122,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,52,1.0221049874423995,1.0,2.7101011904545,2.751540046488,0.69911729428996,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,53,1.2702577491052474,1.0,2.6953864084785,2.751540046488,0.6776839724115998,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,54,1.2189584380912422,1.0,2.711004627345,2.751540046488,0.6114204307723934,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,55,1.0555938683292785,1.0,2.741721063277,2.751540046488,0.6263049389724182,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,56,1.3442745034458798,1.0,2.7304485236925,2.751540046488,0.6255810488962427,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,57,0.8614146105817672,1.0,2.762419390477,2.751540046488,0.6420583593478792,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,58,1.1181051210558828,1.0,2.7462412561585,2.751540046488,0.5640567121278253,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,59,1.273069610385563,1.0,2.712039746212,2.751540046488,0.6383847434774654,0.6494770333465083,False,True,True
