method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dgi,25,connected_modulated,38,atom_stop,1,1,20260818;5301;25;1;1;38;1;1
dgi,25,connected_modulated,38,leakage_stop,2,0,20260818;5301;25;1;1;38;2;0
dgi,25,connected_modulated,38,stop_dark,3,0,20260818;5301;25;1;1;38;3;0
dgi,25,connected_modulated,38,open_reference,4,0,20260818;5301;25;1;1;38;4;0
dgi,25,connected_modulated,38,open_dark,5,0,20260818;5301;25;1;1;38;5;0
dgi,25,connected_modulated,39,atom_stop,1,1,20260818;5301;25;1;1;39;1;1
dgi,25,connected_modulated,39,leakage_stop,2,0,20260818;5301;25;1;1;39;2;0
dgi,25,connected_modulated,39,stop_dark,3,0,20260818;5301;25;1;1;39;3;0
dgi,25,connected_modulated,39,open_reference,4,0,20260818;5301;25;1;1;39;4;0
dgi,25,connected_modulated,39,open_dark,5,0,20260818;5301;25;1;1;39;5;0
dgi,25,connected_modulated,40,atom_stop,1,1,20260818;5301;25;1;1;40;1;1
dgi,25,connected_modulated,40,leakage_stop,2,0,20260818;5301;25;1;1;40;2;0
dgi,25,connected_modulated,40,stop_dark,3,0,20260818;5301;25;1;1;40;3;0
dgi,25,connected_modulated,40,open_reference,4,0,20260818;5301;25;1;1;40;4;0
dgi,25,connected_modulated,40,open_dark,5,0,20260818;5301;25;1;1;40;5;0
dgi,25,connected_modulated,41,atom_stop,1,1,20260818;5301;25;1;1;41;1;1
dgi,25,connected_modulated,41,leakage_stop,2,0,20260818;5301;25;1;1;41;2;0
dgi,25,connected_modulated,41,stop_dark,3,0,20260818;5301;25;1;1;41;3;0
dgi,25,connected_modulated,41,open_reference,4,0,20260818;5301;25;1;1;41;4;0
dgi,25,connected_modulated,41,open_dark,5,0,20260818;5301;25;1;1;41;5;0
dgi,25,connected_modulated,42,atom_stop,1,1,20260818;5301;25;1;1;42;1;1
dgi,25,connected_modulated,42,leakage_stop,2,0,20260818;5301;25;1;1;42;2;0
dgi,25,connected_modulated,42,stop_dark,3,0,20260818;5301;25;1;1;42;3;0
dgi,25,connected_modulated,42,open_reference,4,0,20260818;5301;25;1;1;42;4;0
dgi,25,connected_modulated,42,open_dark,5,0,20260818;5301;25;1;1;42;5;0
dgi,25,connected_modulated,43,atom_stop,1,1,20260818;5301;25;1;1;43;1;1
