draw_id,state,duration_us,start_id,start_eta,start_d_um,start_sigma_y_um,start_y0_um,optimizer_success,finite,converged,termination_status,termination_message,nfev_total,nfev_by_irls_pass_json,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual,eta_hat,d_hat_um,sigma_y_hat_um,y0_hat_um,active_physical_bounds,active_nuisance_bounds,fit_vector_json,runtime_seconds,jacobian_rank,jacobian_condition,morphology_rank_after_y0_and_nuisance_projection,morphology_projected_singular_values_json,physical_censored,nuisance_censored,topology_valid,d_peak_um,nu_vp,d_peak_conditional_sd_um,nu_vp_conditional_sd,d_peak_supported_local,nu_vp_supported_local
24,separated_droplets,100,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,19,"[14,5]",6056.084488123646,1.003493701428939,4.363988745932702,1.0153747993893913,2.792906083394126,0.566091260101072,-0.0012434865367715916,0,0,"[0.01525780481603652,1.0270826606884549,-0.5689999768485414,-0.0012434865367715916,0.9997127904479183,0.00930564545105927,0.0002983776761849691,0.9559157489157528]",12.192049399993266,8,76.67885579054312,3,"[212.99196437080874,101.5353904421311,37.8452490072953]",false,false,true,2.7928884348395,0.0948576776711531,0.01070309580085508,0.008882735810780265,true,true
24,separated_droplets,100,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,14,"[10,4]",6056.388114762987,1.003544012388233,4.364354056644099,1.0171931444555393,2.7944102559611785,0.5657648490594309,-0.0012599260564750369,0,0,"[0.017047014920170182,1.0276210846873954,-0.5695767481325379,-0.0012599260564750369,0.9997127903917927,0.009254576203723972,0.00029837770899989385,0.95475688507224]",8.933064600001671,8,76.24649806727317,3,"[211.7232800694121,99.40362037367375,38.08678861852319]",false,false,true,2.7943930713665,0.09421567632288783,0.01081586803210061,0.008899386236696958,true,true
24,separated_droplets,100,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",6056.548187202326,1.0035705364046936,4.364559905004468,1.0175637749981616,2.7940259266306757,0.5660704246498135,-0.0008057731749934394,0,0,"[0.01741131450129238,1.027483540187091,-0.5690367833427754,-0.0008057731749934394,0.9997127877256228,0.00922533056368112,0.00029837912978902375,0.9541451988046069]",8.324894100005622,8,77.09654094183266,3,"[216.06906366456514,102.39443481351395,37.86937632903442]",false,false,true,2.794008458207,0.09460535948459149,0.010639637801315745,0.008701080033426059,true,true
24,separated_droplets,100,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,14,"[10,4]",6056.572597613504,1.0035745812118482,4.364471767684471,1.0168663408310465,2.793503160450625,0.5658076938326172,-0.0013166746687918761,0,0,"[0.01672568348451777,1.027296421275161,-0.5695010220582779,-0.0013166746687918761,0.9997127900133069,0.009231584860028563,0.0002983779845476685,0.954953830283462]",8.963175700002466,8,76.567163382724,3,"[215.71144825514833,101.87222549338351,38.08388375668814]",false,false,true,2.7934858128585,0.09444583792639831,0.010589295809438536,0.008764405923955828,true,true
25,separated_droplets,100,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,10,"[7,3]",5998.366587315008,0.993929840483017,4.407965279249298,1.0653427211748001,2.8137659712028085,0.5462954263651126,0.007408379907166226,0,1,"[0.06329655131361292,1.03452378934986,-0.604595375636172,0.007408379907166226,1.000012958542244,0.015042206624984632,1.3208261965470206e-20,0.9530198820146341]",6.494560000006459,8,55.70313520018241,3,"[219.56130313353148,97.53147051585006,46.9054631107102]",false,false,true,2.8137600173340003,0.07216726696681885,0.010395455576167873,0.0074127813766395175,true,true
25,separated_droplets,100,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,14,"[10,4]",5998.003959044093,0.9938697529484827,4.407965279249298,1.0666624750019293,2.8128119200840005,0.5462227036679123,0.0072455692404092,0,1,"[0.06453459144415868,1.0341846662997984,-0.6047285042228906,0.0072455692404092,1.0000129586264264,0.01509382555407602,3.1030149019246276e-24,0.9520984833178565]",9.041691299993545,8,54.98666327827471,3,"[221.33793894648784,99.07777603454863,47.31553811044934]",false,false,true,2.8128059356244997,0.07226587775923056,0.010374928459479025,0.007283175486635889,true,true
25,separated_droplets,100,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,11,"[8,3]",5998.397673564184,0.993934991477081,4.407965279249298,1.065317657347639,2.8138555473744553,0.5463039567621142,0.00744255468198574,0,1,"[0.06327302449778158,1.0345556238189546,-0.6045797607692165,0.00744255468198574,1.0000129612109705,0.015037645844879367,1.876880540033382e-19,0.9530354780033718]",7.078057999999146,8,55.745653330002135,3,"[218.72834686529518,96.98006074739048,46.89898221577306]",false,false,true,2.813849595878,0.0721595065367909,0.0104292804438784,0.007450693616149963,true,true
25,separated_droplets,100,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,15,"[11,4]",5998.7149896401515,0.9939875707771585,4.407965279249298,1.0661594305959545,2.814277004187549,0.5462119649476326,0.008056614375461296,0,1,"[0.0640628742192161,1.0347053917251012,-0.6047481643830603,0.008056614375461296,1.0000129586614306,0.014989112209153556,4.130987158444675e-22,0.9526235731937608]",9.583322800011956,8,54.96931475140811,3,"[219.36283500722536,95.88630330583786,47.59292937324391]",false,false,true,2.8142711018505002,0.07200739199197946,0.010323848379640795,0.007557835560453862,true,true
25,separated_droplets,100,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,15,"[11,4]",5998.284047552344,0.9939161636375052,4.407965279249298,1.0660082301635763,2.813498195096707,0.5463139160591045,0.007358721952388214,0,1,"[0.06392104631757922,1.034428618375692,-0.6045615306134806,0.007358721952388214,1.0000129585645612,0.015051789249746442,2.872436068728284e-24,0.9525273411943561]",9.397448199990322,8,55.45503684183448,3,"[216.7026752361353,95.75766099950616,47.11963923882583]",false,false,true,2.813492221385,0.07222901670371856,0.010552777745045884,0.007505481201412356,true,true
26,separated_droplets,100,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,11,"[8,3]",6185.732694375241,1.0249764199461875,3.695630246270313,0.9685419482114002,2.817965410192244,0.5661324629818755,0.008912291080880111,0,2,"[-0.031963484516104354,1.0360151388064935,-0.5689271946236478,0.008912291080880111,0.9990266956223828,6.978272119998486e-18,3.3259446325863938e-18,1.0141676594144147]",7.584628900003736,8,96.31087611992575,3,"[214.37719766167365,98.8747915049456,33.9652666117136]",false,false,true,2.817951085522,0.08983774957188839,0.010674827453769648,0.008788032220743048,true,true
